日付,result
2020/11/29,1041.701156
2020/11/30,920.2522929
2020/12/1,1023.622137
2020/12/2,1021.528438
2020/12/3,1001.037668
2020/12/4,1020.331464
2020/12/5,1032.754643
2020/12/6,1025.594983
2020/12/7,924.3069779
2020/12/8,1010.035316
2020/12/9,1049.134824
2020/12/10,1060.393405
2020/12/11,1050.894563
2020/12/12,1044.375773
2020/12/13,1064.285928
2020/12/14,956.3205005
2020/12/15,1043.852437
2020/12/16,1027.417751
2020/12/17,1037.963716
2020/12/18,1026.454482
2020/12/19,1028.195583
2020/12/20,1037.879442
2020/12/21,941.8193676
2020/12/22,1070.109566
2020/12/23,1076.820275
2020/12/24,1088.336461
2020/12/25,1095.865718
2020/12/26,1104.182972
