日付,入院治療を要する者,死亡者数,実効再生産数,国立感染症研究所,検疫所,地方衛生研究所・保健所,民間検査会社,大学等,医療機関,PCR 検査実施件数(単日),testedPositive,peopleTested,hospitalized,discharged,effectiveReproductionNumber,退院、療養解除となった者,重症者数,PCR 検査陽性者数(単日)
2020/2/4,15.0,,,,,,,,,,,,,,,1.0,,2
2020/2/5,16.0,,,,,,,,,4.0,,,,,,4.0,0.0,2
2020/2/6,12.0,,,,,,,,,19.0,,,,,,4.0,0.0,0
2020/2/7,12.0,,,,,,,,,9.0,,,,,,6.0,0.0,0
2020/2/8,7.0,,,,,,,,,4.0,4.0,0.0,0.0,0.0,0.0,9.0,0.0,0
2020/2/9,7.0,,,,,,,,,10.0,4.0,0.0,0.0,0.0,0.0,9.0,0.0,0
2020/2/10,7.0,,,,,,,,,12.0,4.0,0.0,0.0,0.0,0.0,9.0,0.0,0
2020/2/11,6.0,,,,,,,,,4.0,5.0,0.0,0.0,0.0,0.0,10.0,0.0,0
2020/2/12,6.0,,,,,,,,,10.0,5.0,0.0,0.0,0.0,0.0,11.0,0.0,1
2020/2/13,6.0,,,,,,,,,16.0,7.0,0.0,0.0,0.0,0.0,11.0,0.0,4
2020/2/14,9.0,1.0,,,,,,,,43.0,11.0,0.0,0.0,0.0,0.0,12.0,2.0,7
2020/2/15,24.0,1.0,,,,,,,,86.0,19.0,130.0,0.0,0.0,0.0,12.0,3.0,12
2020/2/16,24.0,1.0,,,,,,,,65.0,24.0,204.0,0.0,0.0,0.0,13.0,3.0,6
2020/2/17,24.0,1.0,,,,,,,,113.0,25.0,211.0,0.0,0.0,0.0,12.0,3.0,7
2020/2/18,31.0,1.0,,472.0,75.0,398.0,0.0,79.0,,9.0,29.0,235.0,0.0,0.0,0.0,14.0,6.0,7
2020/2/19,35.0,1.0,,15.0,68.0,609.0,0.0,0.0,,71.0,35.0,315.0,0.0,0.0,0.0,16.0,7.0,10
2020/2/20,52.0,1.0,,20.0,15.0,758.0,0.0,0.0,,90.0,38.0,375.0,0.0,0.0,0.0,16.0,9.0,9
2020/2/21,62.0,1.0,,261.0,188.0,902.0,132.0,108.0,,85.0,44.0,410.0,0.0,0.0,0.0,16.0,10.0,11
2020/2/22,96.0,1.0,,341.0,127.0,677.0,2.0,19.0,,96.0,46.0,444.0,0.0,0.0,0.0,17.0,11.0,27
2020/2/23,108.0,1.0,,53.0,72.0,529.0,0.0,0.0,,39.0,46.0,451.0,0.0,0.0,3.07,17.0,13.0,12
2020/2/24,121.0,1.0,,22.0,103.0,460.0,17.0,0.0,,104.0,53.0,465.0,0.0,0.0,3.1799999999999997,18.0,14.0,12
2020/2/25,125.0,1.0,,195.0,38.0,695.0,0.0,0.0,,44.0,53.0,509.0,0.0,0.0,2.82,23.0,15.0,8
2020/2/26,138.0,1.0,,267.0,19.0,970.0,149.0,0.0,,168.0,57.0,560.0,0.0,0.0,2.11,23.0,16.0,22
2020/2/27,161.0,3.0,,237.0,61.0,1101.0,0.0,0.0,,151.0,61.0,628.0,0.0,0.0,2.1,30.0,20.0,24
2020/2/28,176.0,4.0,,53.0,79.0,1369.0,102.0,0.0,,130.0,63.0,692.0,36.0,0.0,1.64,30.0,22.0,20
